index,y
2023-01-01_1J7,554.0362990220527
2023-01-01_O2O,-429.7349109065209
2023-01-01_8QR,-570.8902183793135
2023-01-01_L58,45.83449755271048
2023-01-01_UMC,-532.862291315712
2023-01-01_FK3,60.480689011204106
2023-01-01_I1K,-504.7745119684169
2023-01-01_KY6,224.13722840743276
2023-01-01_V8D,-879.5654754785011
2023-01-01_EK4,-14.975486982459325
2023-01-01_357,-562.2173911474483
2023-01-01_O7B,13556.697345310708
2023-01-01_RYX,-472.10663989245325
2023-01-01_TEP,-350.0121483621847
2023-01-01_CUF,57.72666074183459
2023-01-01_4UY,-627.845702187445
2023-01-01_I9K,-552.2912553934484
2023-01-01_FA8,-59.63558508911565
2023-01-01_EPD,-14.975486982459325
2023-01-01_VML,-815.1974646003378
2023-01-01_GV0,1349.665610356766
2023-01-01_5KB,-1019.0098282779268
2023-01-01_6WR,63.52714554122436
2023-01-01_BRZ,63.63935039491591
2023-01-01_BUY,63.63935039491591
2023-01-01_C3A,-44.261959815677194
2023-01-01_276,1078.082949412869
2023-01-01_IFB,-404.8940408562725
2023-01-01_1PW,554.0362990220527
2023-01-01_6UW,63.52714554122436
2023-01-01_RR1,-260.26360501211
2023-01-01_XTG,1136.8895459174744
2023-01-01_JXV,1105.1899011618298
2023-01-01_OD3,-571.7365445316294
2023-01-01_YTV,-540.8351695381737
2023-01-01_Z2T,-549.2351618952808
2023-01-01_GOJ,333.6804296573675
2023-01-01_8X9,964.690254361031
2023-01-01_R83,461.9997163044651
2023-01-01_XIG,-457.0667913514013
2023-01-01_CSD,57.72666074183459
2023-01-01_30R,-582.0229240358381
2023-01-01_OOY,-534.4867569544022
2023-01-01_JCN,258.59436094269245
2023-01-01_G10,60.480689011204106
2023-01-01_MM6,-109.09571765393387
2023-01-01_NT4,452.52312401276123
2023-01-01_IOR,120.72554716236114
2023-01-01_J9C,3516.3028713803324
2023-01-01_VI4,-815.1974646003378
2023-01-01_8WZ,-570.8902183793135
2023-01-01_FYB,60.480689011204106
2023-01-01_5GK,-1019.0098282779268
2023-01-01_QQJ,-237.77334715291195
2023-01-01_E9M,-14.975486982459325
2023-01-01_F77,-59.63558508911565
2023-01-01_JX6,1885.9496766083587
2023-01-01_HW6,1442.2213129628321
2023-01-01_30I,-582.0229240358381
2023-01-01_CWQ,57.72666074183459
2023-01-01_4IM,-817.7987340299234
2023-01-01_59A,-1019.0098282779268
2023-01-01_BZ0,-44.261959815677194
2023-01-01_5S5,-418.8453384997033
2023-01-01_MK9,91.50955155651862
2023-01-01_JCW,2954.368858533521
2023-01-01_34L,-582.0229240358381
2023-01-01_EBP,-14.975486982459325
2023-01-01_V4D,-879.5654754785011
2023-01-01_3KU,-562.2173911474483
2023-01-01_BNR,264.597978538373
2023-01-01_VGQ,-815.1974646003378
2023-01-01_B3W,130.10650720458744
2023-01-01_HOX,-101.24362208370272
2023-01-01_9WY,-240.26874095141702
2023-01-01_N7J,339.7457279188763
2023-01-01_4YU,1871.6219119337204
2023-01-01_JD3,2954.368858533521
2023-01-01_RF2,1691.7846108824183
2023-01-01_FBH,60.480689011204106
2023-01-01_P4J,366.4164323655089
2023-01-01_QV8,1205.3323682389396
2023-01-01_SH9,7126.634736035029
2023-01-01_DBV,-9.558641144959763
2023-01-01_3NQ,-562.2173911474483
2023-01-01_651,582.9380484606033
2023-01-01_HOC,-101.24362208370272
2023-01-01_3W6,567.7092744807424
2023-01-01_EIZ,-14.975486982459325
2023-01-01_87K,-164.3476683497298
2023-01-01_289,-693.4254796382239
2023-01-01_XRB,-452.4638156380319
2023-01-01_BKJ,264.597978538373
2023-01-01_T91,472.1854821683981
2023-01-01_NVE,452.52312401276123
2023-01-01_CJP,4121.201045674366
2023-01-01_5U5,420.80776580360765
2023-01-01_BPW,2728.0179500093423
2023-01-01_GKH,-233.3229873566731
2023-01-01_XOK,-452.4638156380319
2023-01-01_72S,-107.4854214277722
2023-01-01_4PO,6098.595113529909
2023-01-01_5PK,-418.8453384997033
2023-01-01_5WG,420.80776580360765
2023-01-01_J9O,258.59436094269245
2023-01-01_6DU,63.52714554122436
2023-01-01_MIH,91.50955155651862
2023-01-01_DSX,1257.7057935940409
2023-01-01_F7I,-59.63558508911565
2023-01-01_OYD,-748.5645795377266
2023-01-01_P3G,366.4164323655089
2023-01-01_B3D,1334.6117522142536
2023-01-01_B61,3861.392769786111
2023-01-01_8E0,-164.3476683497298
2023-01-01_7NG,-164.3476683497298
2023-01-01_222,621.0717878597075
2023-01-01_1TE,-727.7732363756181
2023-01-01_CYD,57.72666074183459
2023-01-01_GN3,6472.478149930033
2023-01-01_11W,-531.8375044381138
2023-01-01_4SH,1279.5588053347306
2023-01-01_3NS,-562.2173911474483
2023-01-01_W80,-694.6472889746971
2023-01-01_OTS,-748.5645795377266
2023-01-01_25G,-235.02065687516046
2023-01-01_XUL,1136.8895459174744
2023-01-01_Z5T,241.22829975648523
2023-01-01_56P,3153.7818927230655
2023-01-01_WIX,1809.964291165773
2023-01-01_TPX,847.6588535566909
2023-01-01_F30,-59.63558508911565
2023-01-01_OUG,-748.5645795377266
2023-01-01_APN,354.9194404641582
2023-01-01_WRR,-842.637289206226
2023-01-01_K5Q,1116.614983329293
2023-01-01_D68,57.72666074183459
2023-01-01_2P1,2156.54604765308
2023-01-01_B65,325.69079228579426
2023-01-01_EFN,-14.975486982459325
